title,iLibraryUrl,identifier,dateOfPublication
Economics and the Environment,economics/economics-and-the-environment_658785422370,658785422370,1990-07-01
Structural Unemployment in Finland,economics/structural-unemployment-in-finland_378343303078,378343303078,1997-01-01
ICT Standardisation in the New Global Context,science-and-technology/ict-standardisation-in-the-new-global-context_236372224617,236372224617,2001-01-01
Modelling Agricultural Trade and Policy Impacts in Less Developed Countries,agriculture-and-food/modelling-agricultural-trade-and-policy-impacts-in-less-developed-countries_228626403505,228626403505,2008-12-01
Float in Order to Fix?,development/float-in-order-to-fix_664633553338,664633553338,2003-11-01
The Italian Distribution System,economics/the-italian-distribution-system_432322185650,432322185650,1993-04-01
Corporate Governance and National Development,development/corporate-governance-and-national-development_113535588267,113535588267,2001-10-01
Sustainable and Excessive Current Account Deficits,development/sustainable-and-excessive-current-account-deficits_808008067635,808008067635,1998-02-01
The Unemployment Impact of Immigration in OECD Countries,economics/the-unemployment-impact-of-immigration-in-oecd-countries_162425722235,162425722235,2007-07-04
Handbook on Constructing Composite Indicators,economics/handbook-on-constructing-composite-indicators_533411815016,533411815016,2005-08-09
Construction des écoles et décentralisation au Mexique,education/construction-des-ecoles-et-decentralisation-au-mexique_458253014732,458253014732,1999-02-01
The Prevention of Lifestyle-Related Chronic Diseases,social-issues-migration-health/the-prevention-of-lifestyle-related-chronic-diseases_243180781313,243180781313,2008-03-25
Trends in Severe Disability Among Elderly People,social-issues-migration-health/trends-in-severe-disability-among-elderly-people_217072070078,217072070078,2007-03-30
Comment reconvertir ressources et revenus,development/comment-reconvertir-ressources-et-revenus_227727501718,227727501718,2008-09-11
Channels for Narrowing the US Current Account Deficit and Implications for Other Economies,economics/channels-for-narrowing-the-us-current-account-deficit-and-implications-for-other-economies_263550547141,263550547141,2004-05-18
Comparing Aggregate Investment Returns in Privately Managed Pension Funds,finance-and-investment/comparing-aggregate-investment-returns-in-privately-managed-pension-funds_237833258822,237833258822,2008-09-01
"Domestic Reform, Trade, Innovation and Growth in New Zealand's Agriculture Sector",trade/case-study-no-2-domestic-reform-trade-innovation-and-growth-in-new-zealand-s-agriculture-sector_240500354186,240500354186,2008-08-06
Enhancing Expenditure Control with a Decentralised Public Sector in Denmark,economics/enhancing-expenditure-control-with-a-decentralised-public-sector-in-denmark_865103764054,865103764054,2002-02-08
Venture Capital Policy Review,science-and-technology/venture-capital-policy-review_266158318353,266158318353,2003-01-28
The Health Costs of Inaction with Respect to Air Pollution,environment/the-health-costs-of-inaction-with-respect-to-air-pollution_241481086362,241481086362,2008-06-06
Exemples de bonnes pratiques relatives aux lignes directrices de l'OCDE régissant la protection des consommateurs dans le contexte du commerce électronique,science-and-technology/exemples-de-bonnes-pratiques-relatives-aux-lignes-directrices-de-l-ocde-regissant-la-protection-des-consommateurs-dans-le-contexte-du-commerce-electronique_233525213315,233525213315,2002-05-17
Trends in IP Technology: Their Impact on the Traditional Telephony Carrier,science-and-technology/trends-in-ip-technology-their-impact-on-the-traditional-telephony-carrier_233582040802,233582040802,2002-03-20
"Organisation des negociations fondées sur le principe des ""offres et requêtes"" dans le cadre de l'AGCS",trade/organisation-des-negociations-fondees-sur-le-principe-des-offres-et-requetes-dans-le-cadre-de-l-agcs_804406835842,804406835842,2004-07-22
Agriculture and the Policy Environment,development/agriculture-and-the-policy-environment_850532161540,850532161540,1992-07-01
Concours d'architecture pour un collège suisse,education/concours-d-architecture-pour-un-college-suisse_476470416551,476470416551,1998-10-01
Pour un fonds de stabilisation des revenus des pays exportateurs de matières premières,development/pour-un-fonds-de-stabilisation-des-revenus-des-pays-exportateurs-de-matieres-premieres_243301383456,243301383456,2007-03-01
School Safety in France,education/school-safety-in-france_716351035433,716351035433,2003-02-01
Enhancing Turkey's Growth Prospects by Improving Formal Sector Business Conditions,economics/enhancing-turkey-s-growth-prospects-by-improving-formal-sector-business-conditions_316551532607,316551532607,2007-01-24
The School of the Future,education/the-school-of-the-future_772611613181,772611613181,2001-10-01
Providing for Disabled Students,education/providing-for-disabled-students_863408481610,863408481610,2000-02-01
Globalisation and Inflation in the OECD Economies,economics/globalisation-and-inflation-in-the-oecd-economies_377011785643,377011785643,2006-11-21
Encouraging Environmentally Sustainable Growth,economics/encouraging-environmentally-sustainable-growth_046738633224,046738633224,2001-05-09
"Reserve Driven Forecasts for Oil, Gas & Coal and Limits in Carbon Dioxide Emissions",transport/reserve-driven-forecasts-for-oil-gas-coal-and-limits-in-carbon-dioxide-emissions_234435550466,234435550466,2007-12-01
What Works in Migrant Education?,education/what-works-in-migrant-education_227131784531,227131784531,2009-02-05
"Regulation, Market Structure and Performance in Air Passenger Transportation",economics/regulation-market-structure-and-performance-in-air-passenger-transportation_163610427241,163610427241,2000-08-03
Les terrains scolaires en Autriche,education/les-terrains-scolaires-en-autriche_533278043213,533278043213,2005-10-01
The Service Economy in OECD Countries,science-and-technology/the-service-economy-in-oecd-countries_212257000720,212257000720,2005-02-11
Asset Prices and Monetary Policy,economics/asset-prices-and-monetary-policy_152217364457,152217364457,1998-02-13
Network Externality Premiums and International Telecommunication Traffic Exchange,science-and-technology/network-externality-premiums-and-international-telecommunication-traffic-exchange_222470556326,222470556326,2009-04-15
Low Fertility Rates in OECD Countries,social-issues-migration-health/low-fertility-rates-in-oecd-countries_568477207883,568477207883,2003-10-07
The Economics of Climate Change Mitigation,economics/the-economics-of-climate-change-mitigation_224074334782,224074334782,2009-06-02
Key Employment Policy Challenges Faced by OECD Countries,social-issues-migration-health/key-employment-policy-challenges-faced-by-oecd-countries_078213832362,078213832362,1998-04-07
Product Market Reforms and Employment in OECD Countries,economics/product-market-reforms-and-employment-in-oecd-countries_463767160680,463767160680,2005-12-16
Extracting More From EITI,development/extracting-more-from-eiti_225162187140,225162187140,2009-02-01
Which Policies Can Reduce the Cost of Capital in Southern Africa ?,development/which-policies-can-reduce-the-cost-of-capital-in-southern-africa_566107725234,566107725234,2004-09-15
Do Corporate Taxes Reduce Productivity and Investment at the Firm Level?,economics/do-corporate-taxes-reduce-productivity-and-investment-at-the-firm-level_236246774048,236246774048,2008-09-30
A Revised Supply Block for the Major Seven Countries in INTERLINK,economics/a-revised-supply-block-for-the-major-seven-countries-in-interlink_780384187533,780384187533,1987-04-01
The International Spillovers of Capital Income Taxation,economics/the-international-spillovers-of-capital-income-taxation_168450005387,168450005387,1993-04-01
Alternative Local Loop Technologies,science-and-technology/alternative-local-loop-technologies_237285366867,237285366867,1996-10-01
Shaping Policies for the Future of the Internet Economy,science-and-technology/shaping-policies-for-the-future-of-the-internet-economy_230388107607,230388107607,2008-06-18
The Implications of WiMAX for Competition and Regulation,science-and-technology/the-implications-of-wimax-for-competition-and-regulation_231618416012,231618416012,2006-03-02
"Globalisation, Liberalisation, Poverty and Income Inequality in Southeast Asia",development/globalisation-liberalisation-poverty-and-income-inequality-in-southeast-asia_873322617282,873322617282,2001-12-01
"L'Ecole allemande de Budapest, en Hongrie",education/l-ecole-allemande-de-budapest-en-hongrie_726614183001,726614183001,2002-10-01
A Simulation Model of Global Pension Investment,development/a-simulation-model-of-global-pension-investment_064457031713,064457031713,1998-08-01
China's Unfinished Open-Economy Reforms,development/china-s-unfinished-open-economy-reforms_110680138577,110680138577,1999-03-01
Participatory Development and Gender,development/participatory-development-and-gender_011121626005,011121626005,1994-02-01
Why has Core Inflation Remained so Muted in the Face of the Oil Shock?,economics/why-has-core-inflation-remained-so-muted-in-the-face-of-the-oil-shock_206408110285,206408110285,2007-04-23
"Priorities in Global Assistance for Health, Aids and Population (HAP)",development/priorities-in-global-assistance-for-health-aids-and-population-hap_725643456002,725643456002,2005-06-09
Fiscal Policy in India,economics/fiscal-policy-in-india_244241786035,244241786035,2008-03-10
"Clicks, Bricks and Spondulicks",education/clicks-bricks-and-spondulicks_645201705763,645201705763,2003-10-01
Benefit Protection,finance-and-investment/benefit-protection_267415864801,267415864801,2007-01-01
Deciphering Codes of Corporate Conduct,finance-and-investment/deciphering-codes-of-corporate-conduct_174727273520,174727273520,1999-11-01
Measures Of Restrictions on Inward Foreign Direct Investment for OECD Countries,economics/measures-of-restrictions-on-inward-foreign-direct-investment-for-oecd-countries_335043060125,335043060125,2003-06-02
The Dutch Tax-Benefit System and Life-Cycle Employment,economics/the-dutch-tax-benefit-system-and-life-cycle-employment_241422478448,241422478448,2008-06-19
House Prices and Economic Activity,economics/house-prices-and-economic-activity_061034430132,061034430132,2001-01-26
PIAAC Numeracy: A Conceptual Framework,education/piaac-numeracy-a-conceptual-framework_220337421165,220337421165,2009-11-24
Economic Growth and Technological Change,science-and-technology/economic-growth-and-technological-change_703445834058,703445834058,2001-01-09
Sovereign Development Funds,development/sovereign-development-funds_242471500022,242471500022,2008-02-01
International Adult Literacy and Basic Skills Surveys in the OECD Region,education/international-adult-literacy-and-basic-skills-surveys-in-the-oecd-region_221351213600,221351213600,2009-09-02
Policies for Economic Take-Off,development/policies-for-economic-take-off_126435112001,126435112001,1996-09-01
The Spending Power of Sub-Central Governments,economics/the-spending-power-of-sub-central-governments_223123781022,223123781022,2009-07-03
Hongrie : Le lycée de la « seconde chance »,education/hongrie-le-lycee-de-la-seconde-chance_234324377441,234324377441,2008-10-01
Costs of Reducing CO2 Emissions,economics/costs-of-reducing-co2-emissions_273021141073,273021141073,1992-01-01
Factors Behind Low Long-Term Interest Rates,economics/factors-behind-low-long-term-interest-rates_761527811285,761527811285,2006-06-13
"Average Effective Tax Rates on Capital, Labour and Consumption",economics/average-effective-tax-rates-on-capital-labour-and-consumption_247874530426,247874530426,2000-10-02
Ice Storm: Reacting to a Natural Disaster in Quebec,education/ice-storm-reacting-to-a-natural-disaster-in-quebec_488213474436,488213474436,1998-10-01
Monetary Policy when Inflation is Low,economics/monetary-policy-when-inflation-is-low_712566642766,712566642766,1998-03-11
Biofuels: Linking Support to Performance,transport/biofuels-linking-support-to-performance_235412177684,235412177684,2008-01-01
Création d'emploi et stratégie de développement,development/creation-d-emploi-et-strategie-de-developpement_245481263253,245481263253,1993-07-01
"""Indirect Expropriation"" and the ""Right to Regulate"" in International Investment Law",finance-and-investment/indirect-expropriation-and-the-right-to-regulate-in-international-investment-law_780155872321,780155872321,2004-09-01
Confidence Indicators and Their Relationship to Changes in Economic Activity,economics/confidence-indicators-and-their-relationship-to-changes-in-economic-activity_537052766455,537052766455,1996-01-01
Trade Impacts of Selected Regional Trade Agreements in Agriculture,trade/trade-impacts-of-selected-regional-trade-agreements-in-agriculture_225010121752,225010121752,2009-04-03
Real Wage Resistance and Unemployment,employment/real-wage-resistance-and-unemployment_136050768537,136050768537,1995-01-01
Human Capital Formation and Foreign Direct Investment in Developing Countries,development/human-capital-formation-and-foreign-direct-investment-in-developing-countries_646400335388,646400335388,2003-07-01
Libéralisation des échanges de produits liés aux énergies renouvelables et de biens associés,trade/liberalisation-des-echanges-de-produits-lies-aux-energies-renouvelables-et-de-biens-associes_373358277553,373358277553,2005-12-09
New York : une école adaptée à la réalité physique de la ville - Aspects de l'architecture,education/new-york-une-ecole-adaptee-a-la-realite-physique-de-la-ville-aspects-de-l-architecture_836803730820,836803730820,2000-06-01
School Grounds in Austria,education/school-grounds-in-austria_544303834752,544303834752,2005-10-01
Why has Swedish Inflation been Persistently Low?,economics/why-has-swedish-inflation-been-persistently-low_173338505703,173338505703,2007-06-11
Sacher Report,science-and-technology/sacher-report_237058611046,237058611046,1997-06-12
Mobiliser l'opinion publique contre la pauvreté,development/mobiliser-l-opinion-publique-contre-la-pauvrete_015116868263,015116868263,2004-04-01
Vers un Accord de libre-échange en Asie de l'Est,development/vers-un-accord-de-libre-echange-en-asie-de-l-est_017838576565,017838576565,2004-03-01
Regulation and Investment,economics/regulation-and-investment_206618567362,206618567362,2003-03-25
Have Long-term Financial Trends Changed the Transmission of Monetary Policy?,economics/have-long-term-financial-trends-changed-the-transmission-of-monetary-policy_238203348082,238203348082,2008-09-05
Rebalancing the Public and Private Sectors in Developing Countries,development/rebalancing-the-public-and-private-sectors-in-developing-countries_187878633382,187878633382,1990-06-01
Modernising Canada's Agricultural Policies,economics/modernising-canada-s-agricultural-policies_240820753484,240820753484,2008-08-04
Potential Impacts of International Sourcing on Different Occupation,science-and-technology/potential-impacts-of-international-sourcing-on-different-occupation_231261872737,231261872737,2006-10-19
The Implications of Convergence for Regulation of Electronic Communications,science-and-technology/the-implications-of-convergence-for-regulation-of-electronic-communications_232632377163,232632377163,2004-07-12
Too little Destruction too little Creation,economics/too-little-destruction-too-little-creation_111542115845,111542115845,2007-09-03
Dépenses d'investissement et résultats des élèves,education/depenses-d-investissement-et-resultats-des-eleves_764157467734,764157467734,2001-10-01
The Politics and Economics of Transition to an Open Market Economy in Viet Nam,development/the-politics-and-economics-of-transition-to-an-open-market-economy-in-viet-nam_634117557525,634117557525,1999-09-01
Crop Biotechnology and Sustainability,development/crop-biotechnology-and-sustainability_440027713385,440027713385,1995-01-01
Tools for Regulatory Quality and Financial Sector Regulation,governance/tools-for-regulatory-quality-and-financial-sector-regulation_218772641848,218772641848,2009-12-17
An Ultra Energy-Efficient School in Quebec,education/an-ultra-energy-efficient-school-in-quebec_643311548154,643311548154,2003-10-01
An Assessment of the Brady Plan Agreements,development/an-assessment-of-the-brady-plan-agreements_615827578321,615827578321,1992-05-01
Un projet d'école primaire « intelligente » en Italie,education/un-projet-d-ecole-primaire-intelligente-en-italie_253825220786,253825220786,2007-03-01
Is the Concept of the Producer Support Estimate in Need of Revision?,agriculture-and-food/is-the-concept-of-the-producer-support-estimate-in-need-of-revision_845314770374,845314770374,2005-04-01
Design Down Process,education/design-down-process_730618174512,730618174512,2002-10-01
A Golden Rule for Russia? How a Rule-Based Fiscal Policy Can Allow a Smooth Adjustment to the New Terms of Trade,economics/a-golden-rule-for-russia-how-a-rule-based-fiscal-policy-can-allow-a-smooth-adjustment-to-the-new-terms-of-trade_328835227746,328835227746,2007-01-15
Public Spending in Italy,economics/public-spending-in-italy_028561670507,028561670507,2002-03-04
Restoring Fiscal Sustainability in the Euro Area,economics/restoring-fiscal-sustainability-in-the-euro-area_414711615127,414711615127,2006-10-30
Major Challenges for Fishery Policy Reform,agriculture-and-food/major-challenges-for-fishery-policy-reform_242275787821,242275787821,2008-03-01
A Small Global Forecasting Model,economics/a-small-global-forecasting-model_628640803664,628640803664,2001-02-08
Impact of Animal Disease Outbreaks and Alternative Control Practices on Agricultural Markets and Trade,agriculture-and-food/impact-of-animal-disease-outbreaks-and-alternative-control-practices-on-agricultural-markets-and-trade_221275827814,221275827814,2009-07-01
"Measurement of Output, Value Added, GDP in Canada and the United States",economics/measurement-of-output-value-added-gdp-in-canada-and-the-united-states_101477551445,101477551445,2003-06-24
How Does Decentralised Minimum-Wage Setting Affect Unemployment and Informality?,economics/how-does-decentralised-minimum-wage-setting-affect-unemployment-and-informality_222850046464,222850046464,2009-07-08
Measuring Atypical Jobs,economics/oecd-china-governance-project-measuring-atypical-jobs_304848747482,304848747482,2004-12-02
What Drives Sovereign Risk Premiums?,economics/what-drives-sovereign-risk-premiums_222675756166,222675756166,2009-07-22
Employment-Productivity Trade-off and Labour Composition,economics/employment-productivity-trade-off-and-labour-composition_224146182015,224146182015,2009-05-14
An Age Perspective on Economic Well-Being and Social Protection in Nine OECD Countries,social-issues-migration-health/an-age-perspective-on-economic-well-being-and-social-protection-in-nine-oecd-countries_703336207745,703336207745,2006-06-09
Échanges et croissance de la Chine,trade/echanges-et-croissance-de-la-chine_226877350450,226877350450,2008-09-03
The Challenges of Monetary Policy in Turkey,economics/the-challenges-of-monetary-policy-in-turkey_235327828370,235327828370,2008-10-16
Renforcer la participation à la gestion des dépenses publiques,development/renforcer-la-participation-a-la-gestion-des-depenses-publiques_630331145585,630331145585,2002-12-18
"Corporate Governance, Competition and Performance",economics/corporate-governance-competition-and-performance_536410876068,536410876068,1996-01-01
Telecommunications Regulations,science-and-technology/telecommunications-regulations_236438205724,236438205724,2000-05-25
"Ageing and the Payout Phase of Pensions, Annuities and Financial Markets",finance-and-investment/ageing-and-the-payout-phase-of-pensions-annuities-and-financial-markets_228645045336,228645045336,2008-12-01
Policy Coherence of OECD Countries Matters,development/policy-coherence-of-oecd-countries-matters_023205835334,023205835334,2005-01-01
The Political Economy of Regulatory Reform,development/the-political-economy-of-regulatory-reform_185306513670,185306513670,2003-11-01
The German Distribution System,economics/the-german-distribution-system_662146556832,662146556832,1993-01-01
Congo 1965-1999,development/congo-1965-1999_575071255418,575071255418,2001-09-01
Do Funded Pensions Contribute to Higher Aggregate Savings?,development/do-funded-pensions-contribute-to-higher-aggregate-savings_215438532570,215438532570,1997-12-01
Getting Better Value for Money from Sweden's Healthcare System,economics/getting-better-value-for-money-from-sweden-s-healthcare-system_082725005676,082725005676,2005-09-20
The Contribution of Foreign Affilliates to Productivity Growth,science-and-technology/the-contribution-of-foreign-affilliates-to-productivity-growth_534235088410,534235088410,2005-08-30
Utilisation de l'espace,education/utilisation-de-l-espace_433106541585,433106541585,1999-10-01
Is More Money Enough to Fix Africa's Transport Infrastructure?,development/is-more-money-enough-to-fix-africa-s-transport-infrastructure_246064082316,246064082316,2006-05-01
On the Edge,education/on-the-edge_220180871707,220180871707,2007-03-26
Product Market Competition and Economic Performance in Sweden,economics/product-market-competition-and-economic-performance-in-sweden_735381855384,735381855384,2004-05-12
Policy Options for the Payout Phase,finance-and-investment/policy-options-for-the-payout-phase_238030285260,238030285260,2008-09-01
Trade and Innovation Project: A Synthesis Paper,trade/trade-and-innovation-project-a-synthesis-paper_240602178318,240602178318,2008-08-07
Product Market Regulation and Wage Premia in Europe and North America,economics/product-market-regulation-and-wage-premia-in-europe-and-north-america_016668388552,016668388552,2002-01-22
Fédéralisme budgétaire en Belgique,economics/federalisme-budgetaire-en-belgique_218553473765,218553473765,2009-12-15
Venture Capital Policy Review,science-and-technology/venture-capital-policy-review_423325882343,423325882343,2003-12-08
Health Workforce and International Migration,social-issues-migration-health/health-workforce-and-international-migration_241523881673,241523881673,2008-05-22
Biotechnology and the Changing Public/Private Sector Balance,development/biotechnology-and-the-changing-public-private-sector-balance_324280502022,324280502022,1992-07-01
Activation Policies in Finland,social-issues-migration-health/activation-policies-in-finland_220568650308,220568650308,2009-11-23
Déclaration de l'OCDE sur les flux transfrontières de données,science-and-technology/declaration-de-l-ocde-sur-les-flux-transfrontieres-de-donnees_230256142100,230256142100,1985-04-11
Le développement du secteur privé dans les pays pauvres,development/le-developpement-du-secteur-prive-dans-les-pays-pauvres_243326761527,243326761527,2007-03-01
An International Campus in Switzerland,education/an-international-campus-in-switzerland_772835141244,772835141244,2001-10-01
The Medium-Term Macroeconomic Strategy Revisited,economics/the-medium-term-macroeconomic-strategy-revisited_432567751277,432567751277,1987-12-01
Measures of Material Deprivation in OECD Countries,social-issues-migration-health/measures-of-material-deprivation-in-oecd-countries_866767270205,866767270205,2006-08-01
Options for Reforming The Tax System in Greece,economics/options-for-reforming-the-tax-system-in-greece_668734032323,668734032323,2001-04-19
"Long Run Trends in Transport Demand, Fuel Price Elasticities and Implications of the Oil Outlook for Transport Policy",transport/long-run-trends-in-transport-demand-fuel-price-elasticities-and-implications-of-the-oil-outlook-for-transport-policy_234582117245,234582117245,2007-12-01
Impact de la libéralisation des échanges de services sur les échanges de produits non agricoles,trade/impact-de-la-liberalisation-des-echanges-de-services-sur-les-echanges-de-produits-non-agricoles_227015265410,227015265410,2009-02-06
Managing Change in OECD Governments,governance/managing-change-in-oecd-governments_227141782188,227141782188,2008-12-01
The Determinants of Exchange Rate Movements,economics/the-determinants-of-exchange-rate-movements_412364058261,412364058261,1983-06-01
E-Commerce,economics/e-commerce_801315684632,801315684632,2000-06-23
Infrastructures pour l'apprentissage en Nouvelle-Zélande,education/infrastructures-pour-l-apprentissage-en-nouvelle-zelande_538327568522,538327568522,2005-10-01
Promoting IPR Policy and Enforcement in China,science-and-technology/promoting-ipr-policy-and-enforcement-in-china_676211282105,676211282105,2005-02-09
Microeconometric Analysis of the Retirement Decision,economics/microeconometric-analysis-of-the-retirement-decision_514187844751,514187844751,1998-06-23
Development Dimensions of High Food Prices,agriculture-and-food/development-dimensions-of-high-food-prices_222521043712,222521043712,2009-07-01
"Capital Inflows, Household Debt and the Boom-bust Cycle in Estonia",economics/capital-inflows-household-debt-and-the-boom-bust-cycle-in-estonia_224121736171,224121736171,2009-05-27
Relations entre les accords internationaux sur l'investissement,finance-and-investment/relations-entre-les-accords-internationaux-sur-l-investissement_261841684305,261841684305,2004-05-01
Institutional Change and Its Impact on the Poor and Excluded,development/institutional-change-and-its-impact-on-the-poor-and-excluded_855711082322,855711082322,2005-01-31
Deux écoles de formation professionnelle au Québec,education/deux-ecoles-de-formation-professionnelle-au-quebec_682784010284,682784010284,2003-02-01
Sustaining High Growth Through Innovation,economics/sustaining-high-growth-through-innovation_507484436664,507484436664,2005-12-20
Innovative Approaches to Funding the Millennium Development Goals,development/innovative-approaches-to-funding-the-millennium-development-goals_580523311442,580523311442,2004-04-06
The Significance of Switzerland's Enormous Current-Account Surplus,economics/the-significance-of-switzerland-s-enormous-current-account-surplus_244253177344,244253177344,2008-03-10
The Challenge of Rapidly Improving Transport Infrastructure in Poland,economics/the-challenge-of-rapidly-improving-transport-infrastructure-in-poland_236343486436,236343486436,2008-09-29
Adaptive Capacity and Inclusive Development,development/adaptive-capacity-and-inclusive-development_020013525616,020013525616,2005-06-01
The Role of Information in Telecommunications Regulations,science-and-technology/the-role-of-information-in-telecommunications-regulations_237308737277,237308737277,1996-03-29
Audit du service public de l'emploi au Luxembourg,social-issues-migration-health/audit-du-service-public-de-l-emploi-au-luxembourg_063038152436,063038152436,2007-10-01
"Globalisation, Poverty and Inequality in Sub-Saharan Africa",development/globalisation-poverty-and-inequality-in-sub-saharan-africa_338442276853,338442276853,2001-12-01
"Trade Integration with Europe, Export Diversification and Economic Growth in Egypt",development/trade-integration-with-europe-export-diversification-and-economic-growth-in-egypt_763242724423,763242724423,1998-06-01
Economic Policy Reform and Growth Prospects in Emerging African Economies,development/economic-policy-reform-and-growth-prospects-in-emerging-african-economies_886414788068,886414788068,1999-03-01
School Facility Projects in Latin America,education/school-facility-projects-in-latin-america_602116071456,602116071456,2004-10-01
What Can Developing Countries Learn from OECD Labour Market Programmes and Policies?,development/what-can-developing-countries-learn-from-oecd-labour-market-programmes-and-policies_570121553883,570121553883,1994-01-01
Results for the OECD Comparative Modelling Project from the Whalley-Wigle Model,economics/results-for-the-oecd-comparative-modelling-project-from-the-whalley-wigle-model_415252876312,415252876312,1992-01-01
Survey of Investment Choice by Pension Fund Members,finance-and-investment/survey-of-investment-choice-by-pension-fund-members_271250042861,271250042861,2007-01-01
Southeast Asia,finance-and-investment/southeast-asia_431857742281,431857742281,1999-01-01
Overheating in Small Euro Area Economies,economics/overheating-in-small-euro-area-economies_221680343230,221680343230,2002-02-22
The Role of Indicators in Structural Surveillance,economics/the-role-of-indicators-in-structural-surveillance_781817537374,781817537374,1990-01-01
Encouraging Environmentally Sustainable Growth in France,economics/comment-encourager-une-croissance-ecologiquement-durable-en-france_260737031267,260737031267,2001-01-01
Fonds d'État et richesse des nations,development/fonds-d-etat-et-richesse-des-nations_242280233508,242280233508,2008-02-01
PIAAC Reading Component: A Conceptual Framework,education/piaac-reading-component-a-conceptual-framework_220367414132,220367414132,2009-11-20
Informal Employment,development/informal-employment_242543432308,242543432308,2008-01-01
The 1993 OECD-Eurostat Compendium of Sources of Earnings Statistics,social-issues-migration-health/the-1993-oecd-eurostat-compendium-of-sources-of-earnings-statistics_878437283175,878437283175,1994-01-01
Revisiting Political Budget Cycles in Latin America,development/revisiting-political-budget-cycles-in-latin-america_221383354183,221383354183,2009-08-14
The Policy Challenges of Globalisation and Regionalisation,development/the-policy-challenges-of-globalisation-and-regionalisation_151004514681,151004514681,1996-06-01
The Learning Environment,education/the-learning-environment_767526546174,767526546174,2001-10-01
Improving the Performance of the Higher Education Estate,education/improving-the-performance-of-the-higher-education-estate_861578156777,861578156777,2000-02-01
Portugal – Les écoles bâties sur le modèle de l'espace paysager,education/portugal-les-ecoles-baties-sur-le-modele-de-l-espace-paysager_234732487724,234732487724,2008-10-01
Structural Budget Deficits and Fiscal Stance,economics/structural-budget-deficits-and-fiscal-stance_050184860264,050184860264,1984-07-01
Are House Prices Nearing a Peak?,economics/are-house-prices-nearing-a-peak_816770752416,816770752416,2006-06-01
In Favour of a Fund to Stabilise Commodity Exporters' Income,development/in-favour-of-a-fund-to-stabilise-commodity-exporters-income_243340034722,243340034722,2007-05-01
Libraries and Resource Centres for Tertiary Education,education/libraries-and-resource-centres-for-tertiary-education_505372733032,505372733032,1998-06-01
Oil Dependence: Is Transport Running out of Affordable Fuel?,transport/oil-dependence-is-transport-running-out-of-affordable-fuel_235517712500,235517712500,2008-02-01
Fair and Equitable Treatment Standard in International Investment Law,finance-and-investment/fair-and-equitable-treatment-standard-in-international-investment-law_675702255435,675702255435,2004-09-01
Peer to Peer Networks in OECD Countries,science-and-technology/peer-to-peer-networks-in-oecd-countries_232717003357,232717003357,2004-07-12
"Ageing Populations, Pension Systems and Government Budgets",economics/ageing-populations-pension-systems-and-government-budgets_463240307711,463240307711,1996-01-01
"Role, Usage and Motivation for Contracting in Agriculture",agriculture-and-food/role-usage-and-motivation-for-contracting-in-agriculture_225036745705,225036745705,2009-03-01
Export Diversification in Low-Income Countries,development/export-diversification-in-low-income-countries_043266813306,043266813306,2003-06-01
"Inventory of Consumer Protection Laws, Policies and Practices Applied to Electronic Commerce",science-and-technology/inventory-of-consumer-protection-laws-policies-and-practices-applied-to-electronic-commerce_234054742628,234054742628,2001-02-28
Le lycée pilote innovant de Poitiers,education/le-lycee-pilote-innovant-de-poitiers_517263023565,517263023565,1998-02-01
Structures for Learning in New Zealand,education/structures-for-learning-in-new-zealand_546113043454,546113043454,2005-10-01
L'accès à l'eau potable et à l'assainissement en Afrique,development/l-acces-a-l-eau-potable-et-a-l-assainissement-en-afrique_243802036270,243802036270,2007-04-01
The Cotton Sector in Mali,development/the-cotton-sector-in-mali_244832588065,244832588065,2006-10-01
The Swedish Housing Market,economics/the-swedish-housing-market_175230504175,175230504175,2007-06-11
Les interactions entre le chapitre sur l'investissement et le chapitre sur les services dans une sélection d'accords commerciaux régionaux,trade/les-interactions-entre-le-chapitre-sur-l-investissement-et-le-chapitre-sur-les-services-dans-une-selection-d-accords-commerciaux-regionaux_054012674020,054012674020,2007-10-11
Nowcasting Patent Indicators,science-and-technology/nowcasting-patent-indicators_055888673307,055888673307,2007-10-05
The US Health System,economics/the-us-health-system_768340075526,768340075526,2003-02-27
Health Status Determinants,economics/health-status-determinants_240858500130,240858500130,2008-08-04
Statistical Developments and Strategies in the Context of E-Government,economics/statistical-developments-and-strategies-in-the-context-of-e-government_276667270150,276667270150,2003-04-18
Indicators of Regulatory Management Systems,governance/indicators-of-regulatory-management-systems_112082475604,112082475604,2007-09-01
"The Role of Capital Accumulation, Adjustment and Structural Change for Economic Take-Off",development/the-role-of-capital-accumulation-adjustment-and-structural-change-for-economic-take-off_518867170562,518867170562,1999-07-01
"Pension Funds, Capital Controls and Macroeconomic Stability",development/pension-funds-capital-controls-and-macroeconomic-stability_834630363647,834630363647,1994-08-01
International Movements of the Highly Skilled,social-issues-migration-health/international-movements-of-the-highly-skilled_104411065061,104411065061,1997-01-01
Sierra University in Mexico,education/sierra-university-in-mexico_644714244466,644714244466,2003-10-01
Economic Integration in the Pacific Region,development/economic-integration-in-the-pacific-region_600342086204,600342086204,1992-05-01
Évaluer la qualité des espaces éducatifs,education/evaluer-la-qualite-des-espaces-educatifs_220431820773,220431820773,2009-11-01
Monetary Policy in the Wake of Financial Liberalisation,economics/monetary-policy-in-the-wake-of-financial-liberalisation_451534710622,451534710622,1990-04-01
